A,B,mean(A),mean(B),diff,se,T,p-tukey,eta-square
Dropout Rate,Hidden Activation Function,0.007684291660243519,0.01740773855403109,-0.009723446893787572,0.0002235764192640517,-43.4904849348349,0.001,0.9043712970234261
Dropout Rate,Hidden Units,0.007684291660243519,0.019930630491752695,-0.012246338831509176,0.0002235764192640517,-54.7747337211167,0.001,0.9375053013905056
Dropout Rate,Model Architecture,0.007684291660243519,0.02444211499922918,-0.01675782333898566,0.0002235764192640517,-74.95344721123777,0.001,0.9656240394805143
Dropout Rate,Noise Level,0.007684291660243519,0.026871897641436673,-0.019187605981193154,0.0002235764192640517,-85.82124199123125,0.001,0.9735634566644487
Dropout Rate,Output Activation Function,0.007684291660243519,0.011202713118544738,-0.003518421458301219,0.0002235764192640517,-15.736997085304592,0.001,0.5532254548033643
Hidden Activation Function,Hidden Units,0.01740773855403109,0.019930630491752695,-0.0025228919377216046,0.0002235764192640517,-11.284248786281793,0.001,0.3890037862818227
Hidden Activation Function,Model Architecture,0.01740773855403109,0.02444211499922918,-0.007034376445198089,0.0002235764192640517,-31.462962276402862,0.001,0.8319211905310189
Hidden Activation Function,Noise Level,0.01740773855403109,0.026871897641436673,-0.009464159087405583,0.0002235764192640517,-42.33075705639634,0.001,0.8995929998719322
Hidden Activation Function,Output Activation Function,0.01740773855403109,0.011202713118544738,0.006205025435486353,0.0002235764192640517,27.75348784953031,0.001,0.7938688532729568
Hidden Units,Model Architecture,0.019930630491752695,0.02444211499922918,-0.004511484507476484,0.0002235764192640517,-20.17871349012107,0.001,0.6706086456856394
Hidden Units,Noise Level,0.019930630491752695,0.026871897641436673,-0.006941267149683978,0.0002235764192640517,-31.046508270114547,0.001,0.8281618167795373
Hidden Units,Output Activation Function,0.019930630491752695,0.011202713118544738,0.008727917373207958,0.0002235764192640517,39.0377366358121,0.001,0.8839870101827597
Model Architecture,Noise Level,0.02444211499922918,0.026871897641436673,-0.002429782642207494,0.0002235764192640517,-10.867794779993476,0.001,0.3712846130618
Model Architecture,Output Activation Function,0.02444211499922918,0.011202713118544738,0.013239401880684442,0.0002235764192640517,59.21645012593317,0.001,0.9460420198142804
Noise Level,Output Activation Function,0.026871897641436673,0.011202713118544738,0.015669184522891934,0.0002235764192640517,70.08424490592664,0.001,0.9608748492019514
