sub,visibility,fpr,tpr,dprime,pval,chance,N,probe_mean,probe_std,total,proportion,report,p_corrected,Behavioral,awareness,subject,meta dprime,overall dprime,m_ratio,m_diff
sub-01,1.0,0.5062988826623513,0.5144926057093158,0.02058951237149688,0.4370562943705629,0.0017195841445207711,782,18.77237851662404,10.561080614900321,1755,0.4455840455840456,18.77+/-10.56,1.0,At Chance,Unconscious,sub-01,2.5297752265671494,1.3020727451936986,1.9428831729296472,1.2277024813734507
sub-01,2.0,0.12971344032659557,0.8681265385548117,2.257987651561678,9.999000099990002e-05,0.00025118961509915463,459,29.956427015250544,11.163191200478574,1755,0.26153846153846155,29.96+/-11.16,0.00029997000299970003,Above Chance,Glimpse,sub-01,2.5297752265671494,1.3020727451936986,1.9428831729296472,1.2277024813734507
sub-01,3.0,0.0,0.9873784293735011,9.299778234627727,9.999000099990002e-05,-0.0026448196197903307,514,41.30350194552529,13.539584112184912,1755,0.2928774928774929,41.30+/-13.54,0.00029997000299970003,Above Chance,Conscious,sub-01,2.5297752265671494,1.3020727451936986,1.9428831729296472,1.2277024813734507
sub-02,1.0,0.3923412288305696,0.49221987969112063,0.2543149459119121,0.027597240275972403,-0.00033461553286630476,710,19.797160243407706,11.931151040906936,1677,0.4233750745378652,19.80+/-11.93,0.0827917208279172,Above Chance,Unconscious,sub-05,1.639094683138108,1.205147631993845,1.360077918774419,0.4339470511442631
sub-02,2.0,0.19223222332606388,0.735941054573152,1.5070011125176122,9.999000099990002e-05,-0.0012554722378425585,473,31.428571428571427,13.50233036072174,1677,0.28205128205128205,31.43+/-13.50,0.00029997000299970003,Above Chance,Glimpse,sub-05,1.639094683138108,1.205147631993845,1.360077918774419,0.4339470511442631
sub-02,3.0,0.09158181299695445,0.9621990689245525,3.137095474636639,9.999000099990002e-05,0.0025903745055641555,494,40.22222222222222,17.02793637772794,1677,0.29457364341085274,40.22+/-17.03,0.00029997000299970003,Above Chance,Conscious,sub-05,1.639094683138108,1.205147631993845,1.360077918774419,0.4339470511442631
sub-03,1.0,0.4378503446248134,0.48097889836521135,0.10904873038124727,0.23407659234076592,-0.0012299763945052846,568,16.47887323943662,9.111761714800933,1622,0.35018495684340323,16.48+/-9.11,0.7022297770222977,At Chance,Unconscious,sub-02,1.5377013466659262,1.017989538390927,1.5105276514889097,0.5197118082749992
sub-03,2.0,0.28900744949547863,0.7115301020537609,1.1168180017419058,9.999000099990002e-05,-0.0014028179825196687,735,24.217687074829932,13.417684039748186,1622,0.4531442663378545,24.22+/-13.42,0.00029997000299970003,Above Chance,Glimpse,sub-02,1.5377013466659262,1.017989538390927,1.5105276514889097,0.5197118082749992
sub-03,3.0,0.03569628389846738,0.9732823027690108,3.8184738350517864,9.999000099990002e-05,0.00259362123058915,319,36.739811912225704,13.623854746232476,1622,0.1966707768187423,36.74+/-13.62,0.00029997000299970003,Above Chance,Conscious,sub-02,1.5377013466659262,1.017989538390927,1.5105276514889097,0.5197118082749992
sub-04,1.0,0.49496231100783206,0.5445191206511636,0.1247032664976244,0.16748325167483252,3.482666563576584e-05,753,34.72775564409031,18.913698946654318,1699,0.4432018834608593,34.73+/-18.91,0.5024497550244975,At Chance,Unconscious,sub-03,1.8507688179828456,1.1406856545595738,1.622505561093814,0.710083163423272
sub-04,2.0,0.19267221959365813,0.7705078666363973,1.6147402575038177,9.999000099990002e-05,-0.002075780850460465,531,50.7909604519774,18.516943765701857,1699,0.3125367863449088,50.79+/-18.52,0.00029997000299970003,Above Chance,Glimpse,sub-03,1.8507688179828456,1.1406856545595738,1.622505561093814,0.710083163423272
sub-04,3.0,0.038336161998592834,0.9758203096154657,3.805978090392297,9.999000099990002e-05,-0.002672414128282506,415,58.91566265060241,20.79226270554304,1699,0.2442613301942319,58.92+/-20.79,0.00029997000299970003,Above Chance,Conscious,sub-03,1.8507688179828456,1.1406856545595738,1.622505561093814,0.710083163423272
sub-05,1.0,0.219700944617267,0.20302900341881847,-0.05767215410222536,0.6526347365263474,0.0033780794111652867,659,34.916540212443095,16.566892488480224,1484,0.4440700808625337,34.92+/-16.57,1.0,At Chance,Unconscious,sub-04,2.5513559287671828,1.4185362786666855,1.7985834885839227,1.1328196501004972
sub-05,2.0,0.10227953563799162,0.9472708353814131,2.911311347970497,9.999000099990002e-05,-0.0029625236214936342,472,51.54661016949152,18.119832669389535,1484,0.31805929919137466,51.55+/-18.12,0.00029997000299970003,Above Chance,Glimpse,sub-04,2.5513559287671828,1.4185362786666855,1.7985834885839227,1.1328196501004972
sub-05,3.0,0.005592583302236711,0.9885423841734182,6.367879628338172,9.999000099990002e-05,-0.0012545511196743408,353,59.065155807365436,18.267100833221406,1484,0.23787061994609165,59.07+/-18.27,0.00029997000299970003,Above Chance,Conscious,sub-04,2.5513559287671828,1.4185362786666855,1.7985834885839227,1.1328196501004972
sub-06,1.0,0.505373419123427,0.6104687430934872,0.2676616397058039,0.018998100189981004,-0.0005135005469145943,748,22.700534759358288,13.977872112912664,1692,0.44208037825059104,22.70+/-13.98,0.05699430056994301,Above Chance,Unconscious,sub-06,1.7239282297418874,1.2174490150452748,1.4160167764214566,0.5064792146966126
sub-06,2.0,0.21477600744797615,0.7666926837889445,1.5263773573235893,9.999000099990002e-05,-0.0033051113914741976,369,35.799457994579946,15.42436392258226,1692,0.21808510638297873,35.80+/-15.42,0.00029997000299970003,Above Chance,Glimpse,sub-06,1.7239282297418874,1.2174490150452748,1.4160167764214566,0.5064792146966126
sub-06,3.0,0.05087185298252785,0.9105884832761673,3.0015729700519045,9.999000099990002e-05,-6.158011730585122e-05,575,43.18260869565217,17.83381380787176,1692,0.3398345153664303,43.18+/-17.83,0.00029997000299970003,Above Chance,Conscious,sub-06,1.7239282297418874,1.2174490150452748,1.4160167764214566,0.5064792146966126
sub-07,1.0,0.3879256880338452,0.5739654515778279,0.47234963224303184,9.999000099990002e-05,-0.0007806938722820653,669,28.475336322869953,16.386806235775783,1645,0.4066869300911854,28.48+/-16.39,0.00029997000299970003,Above Chance,Unconscious,sub-07,1.372433292298202,1.272082824727833,1.078886740406891,0.100350467570369
sub-07,2.0,0.26771336518512495,0.8287041643145955,1.5738768559867866,9.999000099990002e-05,-0.0006214398606467168,639,41.189358372456965,17.598197003471057,1645,0.3884498480243161,41.19+/-17.60,0.00029997000299970003,Above Chance,Glimpse,sub-07,1.372433292298202,1.272082824727833,1.078886740406891,0.100350467570369
sub-07,3.0,0.06013656324332724,0.9471078312478217,3.213214501952493,9.999000099990002e-05,0.0024719944127444475,337,50.474777448071215,20.39113349588999,1645,0.2048632218844985,50.47+/-20.39,0.00029997000299970003,Above Chance,Conscious,sub-07,1.372433292298202,1.272082824727833,1.078886740406891,0.100350467570369
